item_id,manual_label,confidence,dependency_evidence,notes
49873325154c7c02,bookkeeping,high,,Repeated malformed find command retry
abc3c43e079c819a,history_dependent,high,Prior file contents show the decorator omits return wrapper and establish the edited line range,Substantive but incorrect edit
429b598ba0485a32,safe,high,,Latest observation contains the completed test script to execute
9ffaf5edfeffd4ef,safe,high,,Latest observation contains the applied fix and reproduction target
a4bb8f509fb5aece,safe,high,,Latest observation contains the complete function targeted by the edit
b3933cf537a87d96,safe,high,,Latest observation exposes the Container fields method and usages being searched
c071a4b0ea5114d7,safe,high,,Latest observation contains the completed reproduction script
1ec23609f16a2409,bookkeeping,high,,Repeated malformed removal-command retry
ac0f34f1dfb51ef4,safe,high,,Task and latest directory listing identify bit/wallet.py as the send-related target
f891d7afa41ea713,history_dependent,high,Prior gast.py view supplies the full _nodes block copied into the proposed replacement,Substantive but incorrect edit
fd93b09d218d58ae,safe,high,,Latest observation identifies the exact sparql.py target
05daa3546c40fe17,bookkeeping,high,,Repeated malformed find-command retry
f2f44716f2784b83,history_dependent,high,Prior history establishes that reproduce.py was the temporary script just rerun successfully,Temporary-file cleanup
720a547c98d4f0e9,safe,high,,Latest search results identify the first url_path_for location
720bd3c34367c53c,safe,high,,Task and latest opened file justify locating the query definition
91bb93670a3b6044,bookkeeping,high,,Repeated malformed file-removal retry
dac80fccb2a9bed4,safe,high,,Task supplies the reproduction code and latest observation shows the empty target file
d06aadaac31e71f9,bookkeeping,high,,Repeated malformed find-command retry
2c08b62331a74597,bookkeeping,high,,Repeated malformed find-command retry
26e9753ae425df9b,safe,high,,Task identifies the README discrepancy and latest observation establishes the repository context
411d3c5cc2da493f,safe,high,,Latest observation contains the applied metric-collection fix
468c136c3947e2cf,bookkeeping,high,,Repeated scroll at the top of the same file
b3df5618edf7cd63,bookkeeping,high,,Repeated scroll at the top of the same file
3f0917f2d8a4fee6,safe,high,,Latest failed edit contains the exact original and replacement signature
cf7c3c17163868da,bookkeeping,high,,Repeated malformed find-command retry
e96da507a1180065,history_dependent,high,Prior history identifies parse_procfile in environ.py as the parser previously modified and tested,Targeted parser reinspection
ccc62090e6fce525,bookkeeping,high,,Repeated malformed find-command retry
6b8ea10d9dd4d190,bookkeeping,high,,Submission wrapper after only a disposable simulation change
eff432b7fba5f260,bookkeeping,high,,No-progress scroll at the top of the displayed file
489d3e30c79b90f3,safe,high,,Latest failed edit shows the original block and the proposed replacement content
efa882a65be78dd2,safe,high,,Latest observation contains the updated reproduction script to execute
0f5f101788085768,safe,high,,Latest search results identify the CodeMirror JavaScript target
17232d837a90088a,bookkeeping,high,,Repeated malformed find-command retry
b812cd5c1cccb42d,safe,high,,Latest failed edit exposes the exact malformed block and intended corrected replacement
8faa284de2624644,bookkeeping,high,,Repeated malformed find-command retry
9de4e107228e9adc,safe,high,,Latest repository listing identifies the package directory to inspect
4263e3d62b9bb12c,safe,high,,Latest observation contains the complete test script to execute
eb61eab3ac0e0ed8,bookkeeping,high,,Repeated malformed find-command retry
fd30f03fa12e241d,bookkeeping,high,,Repeated malformed find-command retry
2bc9b36728304820,safe,high,,Task and latest observation directly support creating the requested reproduction file
e098a37bbd93baee,safe,high,,Latest test result isolates parse_einsum_input as the function returning None
0ee3a4df0ec9bae9,safe,high,,Latest traceback identifies the exact failing line and TypedDict check being revised
fa3339d52cbdb296,bookkeeping,high,,Repeatedly reopens the already displayed wallet.py without new progress
cc11e558fcc8fa54,safe,high,,Latest observation reports the search timeout and the retry narrows the same named target
6f3d3fe902ae5a31,ambiguous,low,,Search omits the Converter.py target despite the latest traceback identifying it
038cb4201eb3c5b6,safe,high,,Latest search results identify the exact line to navigate to
5301cac8afe500ac,history_dependent,high,Prior history establishes reproduce.py as a temporary unrelated diagnostic script created for this trajectory,Temporary-file cleanup
8f2f393ddf4f8827,safe,high,,Latest failed tests-directory lookup directly motivates checking src
321fba618a3cddca,history_dependent,high,Prior history records the parse_procfile validation edits and earlier checks that motivate rerunning honcho check,Validation rerun
644dbe55e0d0264a,history_dependent,high,Prior history establishes reproduce.py as the temporary ULID reproduction script whose rerun just failed to change output,Temporary-file cleanup
03315a02f7944623,bookkeeping,high,,Repeated malformed edit retry with no new progress
9828085390a60e0c,safe,high,,Latest observation shows the import and exact query-string line needed for the encoding edit
b9cf8ee3b1a1bb7e,bookkeeping,high,,Repeated malformed edit retry with no new progress
765cc56ead8ef299,history_dependent,high,Prior history establishes empty.csv as a temporary reproduction artifact created for this trajectory,Temporary-file cleanup
2608ee8e7aa955c7,safe,high,,The failed path command and task directly motivate listing the current directory
bba42e158e750953,bookkeeping,high,,Repeated identical malformed find command
c9f079b036abbebd,safe,high,,Latest observation contains the just-applied edit and directly motivates rerunning the reproduction
fc3f30d90b29baae,ambiguous,low,,The wholesale replacement is not justified by the partial latest file context and would discard unseen class methods
efc4f649c8b6df47,safe,high,,The task and latest observation identify the exact RecordField conversion and requested to_json fix
5dc94095a33afa78,bookkeeping,high,,Repeated identical malformed find command
627885aaaa59167a,safe,high,,Latest observation shows the exact accidental line in the temporary input file to remove
a88f935d7e3c1624,safe,high,,Latest observation contains the complete reproduction script and directly motivates running it
e88c3b156b07241e,bookkeeping,high,,Repeated identical failed import-line edit
0f10472fa789d52b,safe,high,,Latest traceback and task identify funcutils.py as the relevant implementation file to locate
a19f094c0600f850,safe,high,,Latest observation shows the applied get_io edit and directly motivates rerunning the reproduction
94fb4c12562db9d3,bookkeeping,high,,Repeated malformed edit retry in the temporary test script
8fbf28a2f32583c2,bookkeeping,high,,Repeated malformed edit that recreates the same nested assignment error
9f4e994c3aac4a65,bookkeeping,high,,Repeated identical malformed find command
7f9e35e4ccdf32a0,bookkeeping,high,,No-progress alternation reopening parser.py and dialect.py
97017ba393ba72e3,bookkeeping,high,,Repeated malformed file-removal command
30745af2f4290b21,safe,high,,Task and latest repository search motivate checking for a Django-specific implementation
f6e3f911db00b274,history_dependent,high,Prior history establishes test_union_types.py as a temporary validation script created for this trajectory,Temporary-file cleanup depends on knowing the artifact's role
84046b014de2bcb5,safe,high,,Latest failed edit exposes the exact import block needing restoration
d19f038ec50f2bef,history_dependent,high,Prior history supplies the trajectory-specific plan to inspect __init_subclass__ and the earlier viewport location that makes scroll_up meaningful,Navigation depends on the prior investigation
00be677cb52dea4c,safe,high,,Latest failed edit exposes the complete parameter block and the exact expected-value correction
1ca5651a4cc3dd16,bookkeeping,high,,The generation repeats a failed edit with no substantive change to the existing block
04311b4b22b77070,bookkeeping,high,,The same malformed find command is repeated after many identical failures
6a36c0609857ceab,history_dependent,high,Prior history establishes reproduce.py as the trajectory's temporary script and supplies its current contents for the whole-file replacement,The edit target and replacement state are not present in task plus latest observation
901a4ef7c21280d3,bookkeeping,high,,Repeated identical malformed find command
ae343eea5abb4fa4,bookkeeping,high,,Repeated identical malformed find command after a long no-progress loop
b825673230f2e7bc,bookkeeping,high,,Repeated scroll_up at the top of the file is a non-substantive navigation retry
2653e84ef06df427,bookkeeping,high,,Malformed return-statement edit remains misplaced and does not repair the parser
858b4732f0229e5f,safe,high,,Latest observation shows the completed reproduction script and directly motivates running it
e0b2f6ece96bf8c8,bookkeeping,high,,Repeated malformed return-statement edit remains incorrectly placed
618a8696bd0b3faf,history_dependent,high,Prior history establishes why version_ext.py was created and that a failed test exposed the imported Version object's missing exact property,The import replacement depends on the trajectory-specific subclass and diagnosis
4e386809d9add7fd,safe,high,,The issue text and latest observation explicitly provide the reproduction command
31035ca01ef8a1ad,safe,high,,Latest observation shows the exact accidental line in input.nex that must be removed
bc587fc1b3c9d734,bookkeeping,high,,Repeated malformed unlink command is a non-substantive cleanup retry
80015e5d957826e5,safe,high,,Task and latest applied implementation directly motivate creating a focused regression test
7f6b072fc1f39aba,bookkeeping,high,,The edit again targets input.nex instead of reproduce.py and repeats the no-progress mistake
0f4dbf3ae3b057fe,bookkeeping,high,,Repeated scroll_up at the top of the file is non-substantive navigation
