item_id,manual_label,confidence,dependency_evidence,notes
5301cac8afe500ac,history_dependent,high,Prior HTTP 400 used placeholder Knack credentials and the earlier plan selected get_metadata for diagnosis.,
5cd028e94a989916,safe,high,,
93620fb09a013811,history_dependent,high,Prior history records the _get_keys changes successful tests and cleanup needed to justify submission.,
f6a4b84945cc1a5b,safe,high,,
17232d837a90088a,ambiguous,low,,Repeated malformed find command after explicit failure.
24f13539bb6f2881,safe,high,,
5dae18718340ee40,history_dependent,high,Prior history says test_logging.py was created in the repository root and already removed there.,
8ec8ec84cb0ebf5d,history_dependent,high,Prior HTTP 400 used placeholder Knack credentials and the earlier plan selected get_metadata for diagnosis.,
19b168ff7f77c398,safe,high,,
e96da507a1180065,history_dependent,high,Earlier inspection established that parse_procfile in honcho/environ.py was the validation target.,
d3924adb110cbc0d,safe,high,,
989df22c43a7b587,safe,high,,
99647ba505586c59,ambiguous,low,,Repeated malformed unlink command after explicit failures.
aadc681f95ea5a67,history_dependent,high,Prior source inspection supplied the existing DotmeshClient construction and state lines used by the replacement.,
53b4f4c60951acf3,safe,high,,
93b82a652fb20d34,ambiguous,low,,Repeated malformed find command after explicit failure.
9c5de7ce6af3e281,safe,high,,
b31b99ce8e4f9029,history_dependent,high,Earlier history created test_capture.py and recorded its NoneType failure which identifies the rerun target.,
4e386809d9add7fd,safe,high,,
8faa284de2624644,ambiguous,low,,Repeated malformed find command after explicit failure.
a986df882b50b121,ambiguous,low,,Repeated malformed find command after explicit failure.
2653e84ef06df427,ambiguous,low,,The insertion targets the wrong line even though the latest view shows a new function there.
35bd6a6e420e5cc9,history_dependent,high,Earlier history created test_capture.py and recorded its failure which identifies the rerun target.,
b21b60425ceca7f3,ambiguous,low,,Repeated malformed find command after explicit failure.
4dfaee4c342de704,history_dependent,high,Prior history identified _get_cfp in src/pystow/config_api.py as the configuration loading logic.,
68cfa3d1b64280e2,ambiguous,low,,The src directory choice is unsupported after a failed third party import.
12b6521967da0fd5,history_dependent,high,Prior history created reproduce.py and established it was temporary after successful YAML verification.,
ecf8adda02a70277,safe,high,,
627885aaaa59167a,safe,high,,
f891d7afa41ea713,history_dependent,high,Earlier full gast.py inspection supplied the _nodes entries across the broad rewrite range.,
fed8e7068d95011f,safe,high,,
bc2c0d09f1631f63,ambiguous,low,,Repeated malformed find command after explicit failure.
180df9ae795c216a,history_dependent,high,Prior history created reproduce.py for the annotations bug and the latest observation only shows a code edit result.,
6a320d7919b5c804,safe,high,,
b05e404d96ce6aed,safe,high,,
a4011bf97f4fe70c,safe,high,,
0e946faa6be9d201,safe,high,,
97017ba393ba72e3,ambiguous,low,,Repeated malformed rm command after explicit failure.
520cc61c273ff8ac,ambiguous,low,,Repeated malformed unlink command after explicit failure.
77a4ae69d26eb485,history_dependent,high,Earlier planning selected _procfile validation as the target while the latest view only shows the file top.,
67f36ca35b0ffbea,history_dependent,high,Prior history created the multiline SQL reproduce.py and the latest only reports the library edit.,
2ac376908a8a8754,safe,high,,
40791fcdd308c555,safe,high,,
b162ed94e2da7fea,ambiguous,low,,Repeated malformed find command after explicit failure.
23dbe1ddfa0a1de4,safe,high,,
720bd3c34367c53c,safe,high,,
763c97208cc95e9b,ambiguous,low,,Repeated malformed rm command after explicit failure.
b3933cf537a87d96,safe,high,,
75290d0583997177,safe,high,,
939a5b156ed4fe98,ambiguous,low,,Repeated malformed find command after explicit failure.
0439f93ac5c25b05,ambiguous,low,,Repeated malformed find command after explicit failure.
bfd8a73633b4c1ab,history_dependent,high,Prior history created test_capture.py and recorded its failure which identifies the rerun target.,
fe3057015f6fa941,safe,high,,
8b0254c9c4b5de45,safe,high,,
26fa29073bdcebaa,safe,high,,
fc6b896fd1edfd02,safe,high,,
dac80fccb2a9bed4,safe,high,,
1c16f7ede1a760b6,safe,high,,
f8e73b323ed615fa,ambiguous,low,,Repeated malformed find command after explicit failure.
7e5efe57be50275e,ambiguous,low,,Repeated malformed unlink command after explicit failure.
b2dd82537fc8768d,safe,high,,
e837c69bc60630b2,ambiguous,low,,The replacement still omits the bio_samples argument required by the latest failure.
8309835fc0c0a576,safe,high,,
7a95ba5cd0a3037b,history_dependent,high,Earlier full gast.py inspection supplied the _nodes entries used by the broad rewrite.,
82b9a91ff4013a31,ambiguous,low,,Repeated malformed find command after explicit failure.
e56d56f49babd31e,history_dependent,high,Prior planning selected get_metadata and an earlier scroll located it near line 246 while the latest shows only the file top.,
64abf52edfc182da,ambiguous,low,,The generation repeats the same invalid TypedDict isinstance approach after its TypeError.
0a87f8c89d2fdada,history_dependent,high,Earlier history selected from_der parsing and located its PKCS8 section while the latest had scrolled past it.,
962505c63e5346dc,history_dependent,high,Prior history created reproduce.py for the nonexistent file get_io case and the latest only shows the library edit.,
b873683dab8a848e,history_dependent,high,Prior planning selected make_absolute_url and URLPath as the reverse proxy target while the latest shows only the file top.,
161a8a65638a793c,history_dependent,high,Earlier history identified _get_cfp in config_api.py as the loader target while the latest only reports a test failure.,
9f85e0c69afdc273,ambiguous,low,,The edit removes a line but leaves split_mon_info undefined.
11f3d4b852b89520,history_dependent,high,Prior history created reproduce.py for the converter cases and the latest only shows a library edit.,
3391d120237bf848,history_dependent,high,Prior search and planning asserted that the next relevant you occurrence was at line 222 while the latest view does not show it.,
99c7da483848c51c,ambiguous,low,,The generation repeats an incorrect duplicate function edit.
cf7c3c17163868da,ambiguous,low,,Repeated malformed find command after explicit failure.
821642156635c7f5,history_dependent,high,Prior history recorded the failed Sample import and selected that class search while the latest only shows the models file.,
ac9ef3978aa1a5af,history_dependent,high,Prior _get_keys implementation and the chosen four scenarios supply the full test body for the blank file.,
26bc6551808dc2ea,history_dependent,high,Prior history identifies reproduce.py line 11 as the intended target while the latest has input.nex open.,
68a2d2f431f74fb4,safe,high,,
e9294ab30d89f939,safe,high,,
0b2882fa23bafbf8,history_dependent,high,Prior modifications established the JSON output plan and complete cloud status body while the latest shows only part of the file.,
3c55aecb15cccbd9,safe,high,,
825f6f00db2ddbfb,ambiguous,low,,The generation repeats the same syntax invalid duplicate function edit.
9c7f47338fd20721,history_dependent,high,Earlier repository search identified tests/test_format.py while the latest only shows a draft04 edit.,
0bd8e38d9d76ae00,ambiguous,low,,Repeated malformed find command after explicit failure.
9bed8b2c70c33eaf,history_dependent,high,Earlier history created reproduce.py for the pending pkl path while the latest only shows the library edit.,
1057d11df2abea42,safe,high,,
05812aa5d71fbe3a,safe,high,,
00194d1f7a3d79d4,history_dependent,high,Prior planning and scrolling identified get_metadata below line 246 while the latest only shows the middle of api.py.,
6eda3dabc4d8ca06,safe,low,,Reruns an unchanged script after a no output result.
c5ad4d0752e685ff,ambiguous,low,,Repeated malformed find command after explicit failure.
